Package,CurrentVersion,AvailableVersion,Pocket
binutils-common/noble-updates,2.42-4ubuntu2.10,amd64,[upgradable
binutils-x86-64-linux-gnu/noble-updates,2.42-4ubuntu2.10,amd64,[upgradable
binutils/noble-updates,2.42-4ubuntu2.10,amd64,[upgradable
bsdextrautils/noble-updates,noble-security,2.39.3-9ubuntu6.5,amd64,[upgradable
bsdutils/noble-updates,noble-security,1:2.39.3-9ubuntu6.5,amd64,[upgradable
ca-certificates/noble-updates,noble-security,20260601~24.04.1,all,[upgradable
coreutils/noble-updates,9.4-3ubuntu6.2,amd64,[upgradable
curl/noble-updates,noble-security,8.5.0-2ubuntu10.11,amd64,[upgradable
distro-info-data/noble-updates,noble-security,0.60ubuntu0.6,all,[upgradable
dpkg-dev/noble-updates,noble-security,1.22.6ubuntu6.6,all,[upgradable
dpkg/noble-updates,noble-security,1.22.6ubuntu6.6,amd64,[upgradable
gdb/noble-updates,15.1-1ubuntu1~24.04.1,amd64,[upgradable
gir1.2-packagekitglib-1.0/noble-updates,noble-security,1.2.8-2ubuntu1.5,amd64,[upgradable
gzip/noble-updates,noble-security,1.12-1ubuntu3.2,amd64,[upgradable
iproute2/noble-updates,6.1.0-1ubuntu6.4,amd64,[upgradable
jq/noble-updates,noble-security,1.7.1-3ubuntu0.24.04.2,amd64,[upgradable
libapparmor1/noble-updates,4.0.1really4.0.1-0ubuntu0.24.04.7,amd64,[upgradable
libarchive13t64/noble-updates,noble-security,3.7.2-2ubuntu0.7,amd64,[upgradable
libbinutils/noble-updates,2.42-4ubuntu2.10,amd64,[upgradable
libblkid-dev/noble-updates,noble-security,2.39.3-9ubuntu6.5,amd64,[upgradable
libblkid1/noble-updates,noble-security,2.39.3-9ubuntu6.5,amd64,[upgradable
libcap2-bin/noble-updates,noble-security,1:2.66-5ubuntu2.4,amd64,[upgradable
libcap2/noble-updates,noble-security,1:2.66-5ubuntu2.4,amd64,[upgradable
libctf-nobfd0/noble-updates,2.42-4ubuntu2.10,amd64,[upgradable
libctf0/noble-updates,2.42-4ubuntu2.10,amd64,[upgradable
libcurl3t64-gnutls/noble-updates,noble-security,8.5.0-2ubuntu10.11,amd64,[upgradable
libcurl4-openssl-dev/noble-updates,noble-security,8.5.0-2ubuntu10.11,amd64,[upgradable
libcurl4t64/noble-updates,noble-security,8.5.0-2ubuntu10.11,amd64,[upgradable
libdpkg-perl/noble-updates,noble-security,1.22.6ubuntu6.6,all,[upgradable
libexif12/noble-updates,noble-security,0.6.24-1ubuntu0.24.04.1,amd64,[upgradable
libfdisk1/noble-updates,noble-security,2.39.3-9ubuntu6.5,amd64,[upgradable
libfreetype-dev/noble-updates,noble-security,2.13.2+dfsg-1ubuntu0.1,amd64,[upgradable
libfreetype6/noble-updates,noble-security,2.13.2+dfsg-1ubuntu0.1,amd64,[upgradable
libgcrypt20-dev/noble-updates,noble-security,1.10.3-2ubuntu0.1,amd64,[upgradable
libgcrypt20/noble-updates,noble-security,1.10.3-2ubuntu0.1,amd64,[upgradable
libgnutls-dane0t64/noble-updates,noble-security,3.8.3-1.1ubuntu3.6,amd64,[upgradable
libgnutls-openssl27t64/noble-updates,noble-security,3.8.3-1.1ubuntu3.6,amd64,[upgradable
libgnutls28-dev/noble-updates,noble-security,3.8.3-1.1ubuntu3.6,amd64,[upgradable
libgnutls30t64/noble-updates,noble-security,3.8.3-1.1ubuntu3.6,amd64,[upgradable
libgprofng0/noble-updates,2.42-4ubuntu2.10,amd64,[upgradable
libgraphite2-3/noble-updates,noble-security,1.3.14-2ubuntu0.24.04.1,amd64,[upgradable
libjq1/noble-updates,noble-security,1.7.1-3ubuntu0.24.04.2,amd64,[upgradable
libkmod2/noble-updates,noble-security,31+20240202-2ubuntu7.2,amd64,[upgradable
liblzma-dev/noble-updates,noble-security,5.6.1+really5.4.5-1ubuntu0.3,amd64,[upgradable
liblzma5/noble-updates,noble-security,5.6.1+really5.4.5-1ubuntu0.3,amd64,[upgradable
libmount-dev/noble-updates,noble-security,2.39.3-9ubuntu6.5,amd64,[upgradable
libmount1/noble-updates,noble-security,2.39.3-9ubuntu6.5,amd64,[upgradable
libmysqlclient-dev/noble-updates,noble-security,8.0.46-0ubuntu0.24.04.3,amd64,[upgradable
libmysqlclient21/noble-updates,noble-security,8.0.46-0ubuntu0.24.04.3,amd64,[upgradable
libncurses-dev/noble-updates,noble-security,6.4+20240113-1ubuntu2.1,amd64,[upgradable
libncurses6/noble-updates,noble-security,6.4+20240113-1ubuntu2.1,amd64,[upgradable
libncursesw6/noble-updates,noble-security,6.4+20240113-1ubuntu2.1,amd64,[upgradable
libnghttp2-14/noble-updates,noble-security,1.59.0-1ubuntu0.4,amd64,[upgradable
libnss3-dev/noble-updates,noble-security,2:3.98-1ubuntu0.2,amd64,[upgradable
libnss3/noble-updates,noble-security,2:3.98-1ubuntu0.2,amd64,[upgradable
libpackagekit-glib2-18/noble-updates,noble-security,1.2.8-2ubuntu1.5,amd64,[upgradable
libpam-systemd/noble-updates,noble-security,255.4-1ubuntu8.16,amd64,[upgradable
libperl5.38t64/noble-updates,noble-security,5.38.2-3.2ubuntu0.3,amd64,[upgradable
libpng-dev/noble-updates,noble-security,1.6.43-5ubuntu0.6,amd64,[upgradable
